file,exportName,kind,hasDocstring,line,lineCount
src/generator/review-checklist-rules.ts,buildReviewChecklist,function,true,136,7
src/generator/windsurf/index.ts,generateWindsurfConfig,function,true,29,15
src/generator/windsurf/render-rule-file.ts,renderWindsurfRuleFile,function,true,34,9
src/generator/windsurf/render-rule-header.ts,renderWindsurfRuleHeader,function,true,20,17
src/generator/windsurf/render-workflow-file.ts,renderWindsurfWorkflowFiles,function,true,56,15
src/generator/write-file.ts,writeFileSafe,function,true,94,79
src/generator/write-session.ts,configureWriteSession,function,true,58,3
src/generator/write-session.ts,resetWriteSession,function,true,71,3
src/generator/write-session.ts,_setPromptFn,function,true,83,3
src/generator/write-session.ts,_restoreDefaultPromptFn,function,true,93,3
src/generator/yaml-helpers.ts,escapeYamlString,function,true,33,5
src/generator/yaml-helpers.ts,renderYamlGlobsList,function,true,51,3
src/installer/backup.ts,backupExistingFiles,function,true,29,25
src/installer/backup.ts,restoreBackupFiles,function,true,69,19
src/installer/diff-files.ts,diffFiles,function,true,28,37
src/installer/safe-delete-stale-files.ts,safeDeleteStaleFiles,function,true,90,74
src/installer/write-files.ts,writeGeneratedFiles,function,true,41,49
src/prompt/ask-agent-selection.ts,askAgentSelection,function,true,10,20
src/prompt/ask-caveman-style.ts,askCavemanStyle,function,true,12,6
src/prompt/ask-command-selection.ts,askCommandSelection,function,true,12,3
src/prompt/ask-conventions.ts,askConventions,function,true,8,11
src/prompt/ask-governance.ts,askGovernance,function,true,8,7
src/prompt/ask-implementer-variant.ts,askImplementerVariant,function,true,38,9
src/prompt/ask-isolation.ts,askIsolation,function,true,39,13
src/prompt/ask-non-interactive.ts,askNonInteractiveMode,function,true,59,40
src/prompt/ask-plugin-selection.ts,askPluginSelection,function,true,23,15
src/prompt/ask-project-docs.ts,askProjectDocumentationFiles,function,true,41,14
src/prompt/ask-project-docs.ts,askMainBranch,function,true,67,8
src/prompt/ask-targets.ts,resolveTargetDefaultsSync,function,true,36,16
src/prompt/ask-targets.ts,resolveTargetDefaults,function,true,63,5
src/prompt/ask-targets.ts,askTargets,function,true,93,20
src/prompt/ask-workspace-selection.ts,askWorkspaceSelection,function,true,23,15
src/prompt/commands.ts,resolvePackageManagerPrefix,function,true,13,9
src/prompt/commands.ts,resolveCommands,function,true,36,43
src/prompt/default-config.ts,createDefaultConfig,function,true,20,98
src/prompt/defaults.ts,resolveDefaultProjectName,function,true,11,4
src/prompt/defaults.ts,resolveDefaultDescription,function,true,27,10
src/prompt/detected-ai-flags.ts,toDetectedAiAgentFlags,function,true,13,15
src/prompt/enable-non-interactive-with-isolation.ts,enableNonInteractiveWithIsolation,function,true,14,6
src/prompt/host-os-disclosure.ts,printHostOsWarning,function,true,22,3
src/prompt/install-scope.ts,askInstallScope,function,true,19,17
src/prompt/non-interactive-host-os-acceptance.ts,promptNonInteractiveHostOsAcceptance,function,true,25,13
src/prompt/prompt-flow.ts,runPromptFlow,function,true,51,129
src/prompt/questions.ts,askProjectIdentity,function,true,30,49
src/prompt/questions.ts,askStack,function,true,94,28
src/prompt/questions.ts,askTooling,function,true,136,18
src/prompt/questions.ts,askPaths,function,true,167,29
src/prompt/resolve-workspace-selection.ts,resolveWorkspaceSelection,function,true,19,13
src/schema/implementer-variants.ts,migrateLegacyAgents,function,true,25,22
src/utils/caveman-compress.ts,cavemanCompress,function,true,58,6
src/utils/convert-to-skill.ts,convertToSkill,function,true,49,26
src/utils/diff.ts,computeUnifiedPatch,function,true,31,3
src/utils/diff.ts,renderUnifiedDiff,function,true,57,8
src/utils/file-exists.ts,fileExists,function,true,14,8
src/utils/logger.ts,sanitizeForLog,function,true,11,6
src/utils/read-package-json.ts,readPackageJson,function,true,28,13
src/utils/read-package-json.ts,getAllDeps,function,true,54,3
src/utils/read-pyproject-toml.ts,readPyprojectToml,function,true,31,13
src/utils/template-renderer.ts,markdownCode,function,true,32,8
src/utils/template-renderer.ts,markdownText,function,true,55,11
src/utils/template-renderer.ts,renderTemplate,function,true,96,18
